City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
176,Nikolskoye,RU,59.7035,30.7861,71.78,46,68,5.68,broken clouds
177,Longyearbyen,SJ,78.2186,15.6401,44.44,81,75,10.36,broken clouds
178,Pozega,HR,45.3403,17.6853,97.77,37,28,2.39,scattered clouds
179,Maceio,BR,-9.6658,-35.7353,74.64,88,75,18.41,light rain
180,Bud,US,39.447,-86.1758,82.04,75,68,3.06,broken clouds
181,Oksovskiy,RU,62.6062,39.8984,59.9,68,100,2.24,overcast clouds
182,Victoria,HK,22.2855,114.1577,87.33,82,5,1.01,clear sky
183,Khowai,IN,24.1,91.6333,78.64,96,100,6.02,overcast clouds
184,Dakar,SN,14.6937,-17.4441,86.88,70,75,9.22,broken clouds
185,Pevek,RU,69.7008,170.3133,34.7,91,100,9.98,overcast clouds
186,Chilliwack,CA,49.1747,-121.9443,70.79,72,0,2.3,clear sky
187,Labuhan,ID,-6.8844,112.2051,74.64,78,13,5.46,few clouds
188,Villarrica,PY,-25.75,-56.4333,89.38,26,57,11.65,broken clouds
189,Kahului,US,20.8947,-156.47,78.84,92,1,14.97,clear sky
190,Sartell,US,45.6216,-94.2069,84.51,40,1,1.99,clear sky
191,Deputatskiy,RU,69.3,139.9,42.01,85,10,3.6,clear sky
192,Saint-Jean-De-Luz,FR,43.3891,-1.6581,79.05,75,40,1.99,scattered clouds
193,Olafsvik,IS,64.8945,-23.7142,51.26,82,54,26.02,moderate rain
194,Norman Wells,CA,65.282,-126.8329,55.44,62,40,5.75,scattered clouds
195,Shuyskoye,RU,59.3736,41.0305,60.48,64,94,4.21,overcast clouds
196,Contamana,PE,-7.3333,-75.0167,89.1,42,99,0.29,overcast clouds
197,Walvis Bay,NA,-22.9575,14.5053,92.35,9,2,10.36,clear sky
198,Cayenne,GF,4.9333,-52.3333,82.09,84,75,7.0,fog
199,Sisimiut,GL,66.9395,-53.6735,46.98,66,100,5.84,overcast clouds
200,Guaratinga,BR,-16.5667,-39.5667,75.87,35,11,9.04,few clouds
201,Divnogorsk,RU,55.9594,92.3619,66.69,81,27,1.74,scattered clouds
202,Ivanava,BY,52.1451,25.5365,71.46,57,71,3.49,broken clouds
203,Severo-Yeniseyskiy,RU,60.3725,93.0408,65.46,60,0,3.85,clear sky
204,Bubaque,GW,11.2833,-15.8333,78.69,80,100,4.76,overcast clouds
205,Tommot,RU,58.9564,126.2925,59.79,82,38,2.73,scattered clouds
206,San Patricio,US,28.017,-97.5169,89.87,53,5,8.59,clear sky
207,Harnai,PK,30.1005,67.9374,97.54,30,3,5.12,clear sky
208,Kayerkan,RU,69.3497,87.7602,52.52,94,100,4.36,overcast clouds
209,Beterou,BJ,9.1992,2.2586,79.65,80,69,5.77,moderate rain
210,Huarmey,PE,-10.0681,-78.1522,67.06,76,22,5.95,few clouds
211,Korla,CN,41.7597,86.1469,92.03,15,0,6.93,clear sky
212,Mozarlandia,BR,-14.7447,-50.5706,90.97,20,0,7.72,clear sky
213,Vijapur,IN,23.5667,72.75,77.95,95,100,10.69,moderate rain
214,Beloyarsk,RU,53.4461,83.9048,78.31,67,1,5.44,clear sky
215,Itarema,BR,-2.9248,-39.9167,89.58,42,43,16.49,scattered clouds
216,Ardatov,RU,55.2421,43.097,64.69,53,87,5.12,overcast clouds
217,Kruisfontein,ZA,-34.0033,24.7314,58.89,43,49,1.39,scattered clouds
218,Rocha,UY,-34.4833,-54.3333,70.38,77,99,12.66,overcast clouds
219,Baturaja,ID,-4.1333,104.1667,72.28,89,1,3.02,clear sky
220,Madang,PG,-5.2246,145.7966,74.39,92,97,5.64,moderate rain
221,Grindavik,IS,63.8424,-22.4338,54.55,82,75,29.93,broken clouds
222,Yatou,CN,37.15,122.3833,76.14,90,81,3.31,broken clouds
223,Mugumu,TZ,-1.85,34.7,73.89,34,32,5.35,scattered clouds
224,Cervo,ES,43.6702,-7.4101,78.19,84,86,8.01,overcast clouds
225,Monteagudo,BO,-19.8167,-63.9833,74.98,18,3,4.99,clear sky
226,Pithiviers,FR,48.1667,2.25,75.31,68,74,12.35,broken clouds
227,Chuy,UY,-33.6971,-53.4616,65.43,83,89,10.65,light rain
228,Inongo,CD,-1.95,18.2667,80.2,41,48,2.93,scattered clouds
229,Beringovskiy,RU,63.05,179.3167,51.87,89,98,3.78,overcast clouds
230,Sabaudia,IT,41.3003,13.0282,92.55,37,99,3.76,overcast clouds
231,Zhezkazgan,KZ,47.8043,67.7144,88.12,30,1,17.02,clear sky
232,Pundaguitan,PH,6.3711,126.1689,84.36,78,50,17.63,scattered clouds
233,Port Said,EG,31.2565,32.2841,84.18,74,0,13.8,clear sky
234,Souillac,MU,-20.5167,57.5167,71.98,64,40,10.36,scattered clouds
235,Oksfjord,NO,70.2396,22.3479,51.87,99,100,3.31,light rain
236,Egvekinot,RU,66.3167,-179.1667,44.67,91,100,1.83,overcast clouds
237,Taoudenni,ML,22.6783,-3.9836,116.26,5,15,10.45,few clouds
238,Waitakere,NZ,-36.9175,174.6577,57.78,91,75,3.0,drizzle
239,Saint-Philippe,RE,-21.3585,55.7679,69.35,77,37,11.81,scattered clouds
240,Mount Isa,AU,-20.7333,139.5,51.57,37,4,4.61,clear sky
241,Husavik,IS,66.0449,-17.3389,57.11,64,100,4.59,overcast clouds
242,Barabai,ID,-2.5833,115.3833,72.43,88,5,2.17,clear sky
243,Haines Junction,CA,60.7522,-137.5108,49.95,81,97,0.0,overcast clouds
244,Hobyo,SO,5.3505,48.5268,77.74,73,87,24.61,overcast clouds
245,Sioux Lookout,CA,50.1001,-91.917,71.98,68,40,9.22,smoke
246,Bozeman,US,45.6796,-111.0386,77.2,33,1,1.99,clear sky
247,Revelstoke,CA,50.9832,-118.2023,60.82,82,75,2.3,haze
248,Tabuk,PH,17.4189,121.4443,77.92,76,100,1.79,overcast clouds
249,Scarborough,GB,54.2797,-0.4044,71.26,72,90,4.0,overcast clouds
250,New Norfolk,AU,-42.7826,147.0587,44.1,72,74,5.99,broken clouds
251,Nisko,PL,50.5199,22.1397,82.13,67,93,4.0,light rain
252,Leningradskiy,RU,69.3833,178.4167,36.97,91,100,4.05,overcast clouds
253,Opole Lubelskie,PL,51.1478,21.969,84.78,58,89,3.42,light rain
254,Ishigaki,JP,24.3448,124.1572,84.18,88,100,14.05,overcast clouds
255,Manjacaze,MZ,-24.7117,33.8828,60.28,72,35,5.41,scattered clouds
256,Saint-Georges,GD,12.0564,-61.7485,85.68,74,20,18.41,few clouds
257,Mandiana,GN,10.6333,-8.6833,81.28,70,100,6.85,overcast clouds
258,Flinders,AU,-34.5833,150.8552,53.38,62,77,7.0,broken clouds
259,Abaete,BR,-19.16,-45.4458,78.44,28,0,7.34,clear sky
260,Broken Hill,AU,-31.95,141.4333,51.51,62,66,11.5,broken clouds
261,Ust-Nera,RU,64.5667,143.2,50.7,98,100,8.75,moderate rain
262,Bambous Virieux,MU,-20.3428,57.7575,71.85,64,40,10.36,scattered clouds
263,Wajima,JP,37.4,136.9,78.44,83,2,4.45,clear sky
264,Northam,GB,51.0333,-4.2167,75.2,75,96,8.48,overcast clouds
265,Nemuro,JP,43.3236,145.575,61.32,92,2,6.69,clear sky
266,Ruteng,ID,-8.6136,120.4721,57.96,65,13,1.28,few clouds
267,Ternate,ID,0.8,127.4,81.23,79,100,7.78,overcast clouds
268,Sur,OM,22.5667,59.5289,92.5,58,44,5.3,scattered clouds
269,Tsabong,BW,-26.0217,22.401,57.6,25,44,9.28,scattered clouds
270,Pontefract,GB,53.6911,-1.3127,75.97,55,86,1.99,overcast clouds
271,Stephenville,US,32.2207,-98.2023,87.93,61,1,10.36,clear sky
272,Mar Del Plata,AR,-38.0023,-57.5575,57.22,65,75,1.01,broken clouds
273,Vikarabad,IN,17.3333,77.9,78.39,81,39,12.06,scattered clouds
274,Orlik,RU,52.5178,99.825,55.35,76,68,2.39,broken clouds
