City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
530,Berezovyy,RU,73.08,overcast clouds,51.6667,135.7,"Hotel ""Phoenix"""
531,Villa Altagracia,DO,86.41,broken clouds,18.673,-70.171,La Maison de AAVA
534,Miles City,US,88.61,clear sky,46.4083,-105.8406,FairBridge Inn & Suites Miles City
536,Lagos,NG,86.32,scattered clouds,6.5833,3.75,
537,Varkaus,FI,76.3,broken clouds,62.3153,27.873,Hotel Oscar
538,Hamilton,US,87.08,clear sky,39.1834,-84.5333,Six Acres Bed & Breakfast
540,Meulaboh,ID,79.27,overcast clouds,4.1363,96.1285,Kost Pria
543,Russell,US,88.0,overcast clouds,32.3502,-85.1999,Macs
544,Dharmanagar,IN,77.72,overcast clouds,24.3667,92.1667,Juri Lodge
546,Rokytne,UA,70.27,overcast clouds,51.2796,27.214,Затишок
547,Tuskegee,US,88.25,overcast clouds,32.424,-85.6916,Macon Motel
549,Pasni,PK,81.99,few clouds,25.2631,63.471,Kashmiri Hotal
550,Jalpan,MX,79.79,clear sky,21.2333,-99.4833,Hotel Mision Jalpan
551,Ajdabiya,LY,83.3,clear sky,30.7554,20.2263,Almadina Hotel
552,Nicoya,CR,76.55,overcast clouds,10.1483,-85.452,Guayacan Real
553,Honiara,SB,76.91,overcast clouds,-9.4333,159.95,Heritage Park Hotel
554,Koungou,YT,76.71,clear sky,-12.7336,45.2042,Villa Netibor
556,Casa Grande,US,76.51,mist,32.8795,-111.7573,Mainstay Suites Extended Stay Hotel Casa Grande
558,Kapoeta,SS,72.81,overcast clouds,4.7717,33.5903,Eastgate Hotel
560,Tecoanapa,MX,84.83,overcast clouds,16.5167,-98.75,Hotel Manglares
563,Lazaro Cardenas,MX,84.2,scattered clouds,17.9583,-102.2,quinta antigua
565,Peniche,PT,76.62,scattered clouds,39.3558,-9.3811,Hotel Star inn Peniche
567,Doba,TD,80.94,overcast clouds,8.65,16.85,Restaurant Auberge La Pétrolière
569,Mangan,IN,78.49,moderate rain,27.5167,88.5333,Hotel Mout View
570,Labuhan,ID,74.64,few clouds,-6.8844,112.2051,PT PPI Lamongan Tambak C
571,Gilbues,BR,89.85,clear sky,-9.8317,-45.3439,Hotel Camapuã
572,Mancio Lima,BR,82.47,clear sky,-7.6142,-72.8958,Hotel e Distribuidora Voyage
574,Salalah,OM,78.89,broken clouds,17.0151,54.0924,HAMDAN PLAZA HOTEL SALALAH
575,Burgos,ES,72.01,broken clouds,42.3394,-3.7079,Hotel Corona de Castilla (Sercotel)
579,Caravelas,BR,71.91,broken clouds,-17.7125,-39.2481,Pousada dos Navegantes
580,Carballo,ES,78.08,broken clouds,43.213,-8.691,Pazo do Souto
582,Great Falls,US,81.55,clear sky,47.5002,-111.3008,La Quinta Inn & Suites by Wyndham Great Falls
583,Dzialdowo,PL,80.37,overcast clouds,53.2396,20.17,VARIA
584,Soteapan,MX,80.29,overcast clouds,18.2333,-94.8667,puente jose maria morelos
586,Jieshou,CN,77.27,overcast clouds,33.2634,115.3611,Vatica Jieshou City New Passenger Transport Center Hotel
587,Kirakira,SB,77.99,broken clouds,-10.4544,161.9205,SanBiz Lodge
589,Roma,US,81.86,few clouds,43.2128,-75.4557,Wingate By Wyndham Rome
591,Half Moon Bay,US,70.97,overcast clouds,37.4636,-122.4286,"The Ritz-Carlton, Half Moon Bay"
593,Roshni-Chu,RU,78.3,overcast clouds,43.0895,45.4544,
